Organization Name,Address,State,Latitude,Longitude,Hours,Phone,Privacy for Video Meetings,Printer,Reservation Type,Reserve Here
City of Richfield,"6700 Portland Ave, Richfield, MN, 55423",MN,44.8816531,-93.2679326,"Monday - Friday 8am - 4:30pm, please reserve the kiosk by emailing the city (bbartlett@richfieldmn.gov)",(612) 861-9712,Yes,Yes,Call to Reserve,
Union Gospel Mission Twin Cities,"435 University Avenue East, St. Paul, MN, 55103",MN,44.9585417,-93.0857717,Monday - Friday 9am-5pm,(651) 292-1721,Yes,Yes,Call to Reserve,
Unidos MN,"1515 E Lake St., Minneapolis, MN, 55407",MN,44.9480858,-93.2529018,Monday - Friday 9am - 5pm,(612) 231-9719,Yes,Yes,Call to Reserve,
Riverland Community College,"1600 8th Ave. NW, Austin, MN, 55912",MN,43.6756794,-92.9956888,Monday - Friday 8am - 8pm,(507) 433-0600,No,No,Walk-Ins Only,
The Salvation Army,"115 1st Ave NE, Rochester, MN, 55906",MN,44.0251097,-92.4619158,Monday - Friday 8am - 4pm,(651) 377-8944,No,No,Walk-Ins Only,
Hibbing Public Library,"2020 5th Ave E, Hibbing, MN, 55746",MN,47.4266874,-92.9361227,Monday - Friday 10am - 5pm,(218) 362-5959,Yes,Yes,Call to Reserve,
Exchange Club Center for Family Unity,"1820 Hartle Ave, Owatonna, MN, 55060",MN,44.0656245,-93.2215017,Monday - Friday 8am - 4:30pm,(507) 455-1190,Yes,Yes,Call to Reserve,
Northland Community and Technical College - East Grand Forks,"2022 Central Ave NE, East Grand Forks, MN, 56721",MN,47.9334671,-97.0202471,Monday - Thursday 9am - 4pm,(218) 793-2800,,,,
Northland Community and Technical College - Thief River Falls,"1101 Highway One East, Thief River Falls, MN, 56701",MN,48.1166027,-96.1666735,Monday - Thursday 9am - 4pm,(218) 683-8800,,,,
Fargo Public Library,"101 4th St. N., Fargo, ND, 58102",ND,46.8774834,-96.7840636,"Monday - Thursday: 9am - 8 pm, Friday 11am - 6pm, Saturday 9am - 6pm, Sunday 1pm - 6pm",(701) 241-1472,No,No,Walk-Ins Only,
Martin Luther King Jr. Family Services Inc.,"3 Rutland Street, Springfield, MA, 01109",MA,42.1123281,-72.5607991,Monday - Friday 8am - 5pm,(413) 746-3655,Yes,Yes,,https://client.flexbooker.com/widget/afa30444-f729-4922-8ac6-ac8d451188cd
Western New England University (WNEU) School of Law Library,"1215 Wilbraham Road, Springfield, MA, 01119",MA,42.1137254,-72.5195877,"Monday - Friday 8am-8pm, variable by semester. Check for updates here: https://law.wne.libguides.com/LibraryHours",(413) 782-1457,No,Yes,Walk-Ins Only,
New North Citizens' Council Inc.,"3012 Main Street, Springfield, MA, 01107",MA,42.1202488,-72.6084117,Monday - Friday 8:30am-4:30pm,(413) 746-4885,No,Yes,,https://a.flexbooker.com/widget/30aec7d0-392b-49f4-8d8e-8b15b396b1b3
Mason Square Branch Library - Springfield City Library,"765 State Street, Springfield, MA, 01109",MA,42.1102234,-72.5661933,"Monday - Tuesday 1pm-5pm, Wednesday 10am-5pm, Thursday 1pm-8pm, Friday 1pm-5pm, Saturday 11am-3pm",(413) 263-6853,Yes,Yes,,https://client.flexbooker.com/widget/4f5a435e-6225-4ef2-97af-f076834fcc62
Hudsonville Courthouse,"3100 Port Sheldon St, Hudsonville, MI, 49426",MI,42.8869233,-85.8584853,"Monday - Thursday 8am - 5pm, Friday 9am - 5pm",(616) 662-3100,,Yes,Walk-Ins Only,
Holland Courthouse,"85 W 8th St, Holland, MI, 49423",MI,42.7905382,-86.1104787,"Monday - Thursday 8am - 5pm, Friday 9am - 5pm",(616) 392-6991,,Yes,Walk-Ins Only,
Juvenile Justice Institute on James Street in Holland,"12263 James St, Holland, MI, 49424",MI,42.8143107,-86.0853955,"Monday - Friday 8am - 11:30am, 12:30 - 5pm",(616) 994-4531,,Yes,Walk-Ins Only,
Coopersville Library,"333 Ottawa St, Coopersville, MI, 49404",MI,43.0656005,-85.9360169,"Monday and Thursday 12pm - 8pm, Tuesday, Wednesday and Friday 10am - 5:30pm",(616) 837-6809,No,Yes,Walk-Ins Only,
Howard Miller Library and Community Center,"14 S. Church St., Zeeland, MI, 49464",MI,42.8117105,-86.0143719,Monday - Friday 8am - 5pm,(616) 772-6400,No,Yes,Walk-Ins Only,
Resilience,"411 Butternut Dr, Holland, MI, 49424",MI,42.810338,-86.1189698,"Monday - Friday, 9am - 5pm",(616) 392-2829,No,Yes,Walk-Ins Only,
Herrick Main Library,"300 S River Ave, Holland, MI, 49423",MI,42.7861669,-86.1094962,"Monday - Wednesday 9am - 8:30pm, Thursday - Saturday 9am - 5:30pm",(616) 355-1300,Yes,Yes,Call to Reserve,
Form Communities (formerly San Antonio Clubhouse),"6851 Citizens Parkway, Suite 100, San Antonio, TX, 78229",TX,29.4950543,-98.5561147,Monday - Friday: 9:00am -11:00am and 1:00pm - 3:00pm,(210) 798-1619,Yes,Yes,,https://client.flexbooker.com/widget/771591fa-9d8f-4c46-b61a-fad956509dbe
Brownwood Public Library,"600 Carnegie St, Brownwood, TX, 76801",TX,31.7170335,-98.9813717,Monday - Friday: 9:00am - 5:45pm; Saturday 9:00am - 12:45pm,(325) 646-0155,Yes,Yes,Call to Reserve,
Harlingen Public Library,"410 ""76"" Drive, Harlingen, TX, 78550",TX,26.1969692,-97.688982,Monday - Thursday: 10:00am - 7:30pm; Friday & Saturday: 10:00am - 4:30pm; Sunday: 1:00pm - 4:30pm,(956) 216-5800,Yes,Yes,,https://client.flexbooker.com/widget/2c22a37f-19d3-43d5-9788-7abf95fc0388
Presidio County Courthouse (Presidio County Court - Court Annex),"300 E. O'Reilly St., Presidio, TX, 79845",TX,29.5609643,-104.3502263,Monday - Friday: 8:00am - 4:00pm,(432) 229-2211,Yes,Yes,Walk-Ins Only,
Wellness Pointe,"425 N Fredonia Street, Longview, TX, 75601",TX,32.4986004,-94.7373928,Monday - Friday: 8:00am - 12:00pm and 1:00pm - 5:00pm,(903) 212-4777,Yes,Yes,,https://client.flexbooker.com/widget/09835cef-1a3a-47d1-abe6-426adf6ca572
Little Walnut Creek Branch - Austin Public Library,"835 W. Rundberg, Austin, TX, 78758",TX,30.3632541,-97.6984392,Monday - Thursday: 9:00am - 8:00pm; Friday: 9:00am - 5:00pm; Saturday: 10:00am - 5:00pm; Sunday: 12:00pm - 5:00pm,(512) 974-9860,Yes,Yes,,https://client.flexbooker.com/widget/df042b74-4c12-4127-89fe-ea87d15261b9
Fort Bend County Willie Melton Law Library,"1422 Eugene Heimann Circle, Rm. 20714, Richmond, TX, 77469",TX,29.5756229,-95.7531051,Monday -  Friday: 8:00am - 5:00pm,(281) 341-3718,Yes,Yes,Reserve Online,https://www.fortbend.lib.tx.us/room-reservation-for-virtual-court
Dell Dehay Law Library - Tarrant County,"100 W. Weatherford Street, Fort Worth, TX, 76102",TX,32.7574599,-97.3331604,Monday- Friday: 8:30am - 3:30pm,(817) 884-1481,No,No,Walk-Ins Only,
Ayuda Inc.,"1325 Beverly Ann Dr., San Elizario, TX, 79849",TX,31.5677546,-106.2710851,"Monday - Thursday: 9:00am - 1:00pm MT, to schedule an appointment, call 915-851-0272 or 915-584-2875",(915) 851-0272 or (915) 584-2875,Yes,Yes,Call to Reserve,
Latin Americans United For Progress (LAUP),"430 West 17th Street, Suite 31, Holland, MI, 49423",MI,42.7818376,-86.1281907,"Monday 9am - 4pm, Tuesday and Thursday 9am - 5pm, Friday 10am - 4pm",(616) 888-7225,No,Yes,Call to Reserve,
North Las Vegas Library District - North Las Vegas Library (City Hall),"2250 Las Vegas Blvd. North, North Las Vegas, NV, 89030",NV,36.2005059,-115.121508,Monday - Thursday 10:30am - 8pm,(702) 633-1070,Yes,Yes,Walk-Ins Only,
Pahrump Library District - Pahrump Community Library,"701 East St, Pahrump, NV, 89048",NV,36.2097293,-115.9910431,Monday - Saturday 10am - 6pm,(775) 727-5930,Yes,Yes,Walk-Ins Only,
North Las Vegas Library District - Alexander Library,"1755 W. Alexander Road, North Las Vegas, NV, 89032",NV,36.2314718,-115.164847,"Monday - Thursday 10:30am - 8pm, Friday - Saturday 9am - 6pm",(702) 633-2880,Yes,Yes,Walk-Ins Only,
North Las Vegas Library District - Aliante Library,"2400 W. Deer Springs Way, North Las Vegas, NV, 89084",NV,36.283844,-115.1449096,Monday - Thursday 10:30am - 8pm,(702) 839-2980,Yes,Yes,Walk-Ins Only,
Kickapoo Traditional Tribe of Texas,"381 Bishop Gracida, Eagle Pass, TX, 78852",TX,28.6125651,-100.437592,Monday - Friday: 8:00am - 12:00pm and 1:00pm - 5:00pm,(830) 752-8460,No,Yes,,https://client.flexbooker.com/widget/a02c3fc7-2265-45b7-b39a-c7183c2e855c
Guyon Saunders Resource Center,"200 S. Tyler St., Amarillo, TX, 79101",TX,35.2116674,-101.8379629,"Monday - Friday: 8:00am- 4:00pm. This kiosk location is only for unhoused persons. When you call to set an appointment, you will need to do a brief assessment.",(806) 373-0704,Yes,Yes,Call to Reserve,
Lyon County Library District - Yerington Branch Library,"20 Nevin Way, Yerington, NV, 89447",NV,38.9957373,-119.1617302,"Sunday - Monday closed, Tuesday - Wednesday 9am - 5pm, Thursday - Saturday 11am - 4pm",(775) 463-6645,Yes,Yes,Walk-Ins Only,
Lyon County Library District - Dayton Library,"321 Dayton Valley Road, Dayton, NV, 89403",NV,39.2407972,-119.575492,"Sunday - Monday closed, Tuesday, Thursday, Friday 9am - 5pm, Wednesday 11am - 6pm, Saturday 11am - 4pm",(775) 246-6212,Yes,Yes,Walk-Ins Only,
Lyon County Library District - Fernley Library,"575 Silverlace Blvd, Fernley, NV, 89408",NV,39.6054768,-119.2405843,"Sunday - Monday closed, Tuesday - Wednesday 9am - 6pm, Thursday - Saturday 10am - 5pm",(775) 575-3366,Yes,Yes,Walk-Ins Only,
Lyon County Library District - Silver Stage Library,"3975 Silver Stage Pl, Silver Springs, NV, 89429",NV,39.3923873,-119.2855722,"Sunday - Monday closed, Tuesday - Saturday 9am - 5pm",(775) 577-5015,Yes,Yes,Walk-Ins Only,
Lyon County Library District - Smith Library,"22 Day Lane, Smith, NV, 89430",NV,38.8033349,-119.3274601,"Monday, Wednesday, Sunday closed, Tuesday and Thursday 3pm - 6pm, Friday and Saturday 9am - 5pm",(775) 465-2369,Yes,Yes,Walk-Ins Only,
Elko County Library - Mybrary,"720 Court Street, Elko, NV, 89801",NV,40.8348791,-115.7615605,"Monday - Saturday 9am - 7pm, Sunday closed",(775) 738-3066,Yes,Yes,Walk-Ins Only,
Nick Carr Community Center (Maverick County),"253 Ruela Dr. Suite 2, Eagle Pass, TX, 78852",TX,28.6559459,-100.4281105,Monday - Friday: 8:00am - 12:00pm and 1:00pm - 4:30pm,(830) 752-4485,Yes,Yes,,https://a.flexbooker.com/widget/7fa23119-c83a-433d-8a8b-7d411a285666
"Harris County Justice of the Peace Precinct 1, Place 2","1302 Preston St. Suite 103, Houston, TX, 77002",TX,29.7595749,-95.3585123,Monday - Friday: 8:00am - 4:30pm,(713) 274-0605,Yes,Yes,Walk-Ins Only,
Washoe County Library System - North Valleys Library,"1075 North Hills Boulevard, Suite 340, Reno, NV, 89506",NV,39.605509,-119.8397515,"Monday, Tuesday, Thursday, Friday 10am - 6pm, Wednesday 10am - 7pm, Saturday 10am - 4pm, Sundays closed",(775) 972-0281,No,Yes,Walk-Ins Only,
Washoe County Library System - Incline Village Library,"845 Alder Avenue, Incline Village, NV, 89451",NV,39.2503294,-119.9574771,"Monday 10am - 6pm, Tuesday 10am - 7pm, Wednesday - Friday 10am - 6pm",(775) 832-4130,No,Yes,Walk-Ins Only,
Las Vegas-Clark County Library District - Whitney Library,"5175 E Tropicana Ave, Las Vegas, NV, 89122",NV,36.0999285,-115.0603777,"Monday - Thursday 10am - 8pm, Friday - Sunday 10am - 6pm",(702) 507-4010,Yes,Yes,Walk-Ins Only,
La Retama Central Library,"805 Comanche, Corpus Christi, TX, 78401",TX,27.7927706,-97.3991217,Tuesday - Friday: 10:00am - 6:00pm; Saturday - Sunday: 1:00pm - 5:00pm,(361) 826-7070,No,Yes,,https://a.flexbooker.com/widget/4b0133cd-315f-4465-af18-1c2166e88123
White Pine County Library District - White Pine Library,"950 Campton St, Ely, NV, 89301",NV,39.2479024,-114.8884572,"Monday - Thursday 9am - 6pm, Friday 9am - 5pm, Saturday 10am - 2pm",(775) 293-6900,Yes,Yes,Walk-Ins Only,
Las Vegas-Clark County Library District - Sahara West Library," 9600 W Sahara Ave, Las Vegas, NV, 89117",NV,36.1450788,-115.3051634,"Monday - Thursday 10 am to 8 pm, Friday - Sunday 10 am to 6 pm",(702) 507-3630,Yes,Yes,Walk-Ins Only,
Las Vegas-Clark County Library District - West Charleston,"6301 W. Charleston Blvd., Las Vegas, NV, 89146",NV,36.1583067,-115.2310615,"Monday - Thursday 10 am to 8 pm, Friday - Sunday 10 am to 6 pm",(702) 507-3940,Yes,Yes,Walk-Ins Only,
Las Vegas-Clark County Library District - East Las Vegas Library,"2851 East Bonanza Road, Las Vegas, NV, 89101",NV,36.1735018,-115.1104179,"Monday - Thursday 10 am to 8 pm, Friday - Sunday 10 am to 6 pm",(702) 507-3500,Yes,Yes,Walk-Ins Only,
Mineral County Library District - Hawthorne Library,"110 W 1st St, Hawthorne, NV, 89415",NV,38.5177006,-118.6279778,"Monday - Friday, 10am - 6pm",(775) 945-2778,Yes,Yes,Walk-Ins Only,
Park Rapids Area Library,"210 1st St West, Park Rapids, MN, 56470",MN,46.9218473,-95.0613034,Monday 9:30-6:30 Tuesday through Thursday 9:30-5:30 Friday 9:30-4:30 Saturday 9:30-1:30,(218) 732-4966,Yes,Yes,Walk-Ins Only,
Carson City Library District - Carson City Library,"900 N Roop St, Carson City, NV, 89701",NV,39.1693342,-119.7616046,"Monday 10 AM - 6 PM, Tuesday to Thursday 10 AM - 8 PM, Friday 10 AM - 6 PM, Saturday 10 AM - 4 PM, Sunday 12 PM - 4 PM",(775) 887-2244,Yes,Yes,Walk-Ins Only,
Las Vegas-Clark County Library District - Mesquite Library,"121 W 1st N St, Mesquite, NV, 89027",NV,36.8056472,-114.0706988,"Monday - Thursday, 10 AM to 7 PM, Friday - Saturday, 10 AM to 6 PM, Sunday 1 PM to 5 PM",(702) 507-4080,Yes,Yes,Walk-Ins Only,
Las Vegas-Clark County Library District - Laughlin Library,"2840 Needles Hwy, Laughlin, NV, 89029",NV,35.1454878,-114.6248513,"Monday - Thursday, 10 AM to 7 PM, Friday - Saturday, 10 AM to 6 PM, Sunday 1 PM to 5 PM",(702) 507-4060,Yes,Yes,Walk-Ins Only,
Centro Comunitario Socorro Ramirez,"106 Peyton Rd , El Paso , TX, 79938",TX,31.6823924,-106.2409035,Monday - Thursday: 9:00am - 2:00pm; Friday 9:00am - 12:00pm,(915) 491-1651,Yes,Yes,Walk-Ins Only,
Isuroon,"1600 East Lake Street, Suite 1, Minneapolis, MN, 55407",MN,44.9486481,-93.2510373,Monday - Friday 10am - 4pm,(612) 886-2731,Yes,Yes,Call to Reserve,
Churchill County Library District - Churchill County Library,"553 S Maine St, Fallon, NV, 89406",NV,39.4696191,-118.776814,"Monday, Thursday, Friday 9 am to 6 pm; Tuesday-Wednesday 9 am to 7 pm; Saturday 9 am to 5 pm",(775) 423-7581,No,Yes,Walk-Ins Only,
Boat People S.O.S. Inc.,"11360 Bellaire Blvd. Suite 910, Houston, TX, 77072",TX,29.7050532,-95.5799481,"Monday - Friday: 9:00am - 12:00pm, 1:00pm-5:30pm",(281) 530-6888,Yes,Yes,Call to Reserve,
Beaumont Public Library System - R.C. Miller Library,"1605 Dowlen Road, Beaumont, TX, 77706",TX,30.0937013,-94.1722114,Monday - Saturday: 9:30am - 6:00pm,(409) 866-9487,Yes,Yes,Call to Reserve,
Dodge Center Public Library,"13 1st Ave NW, Dodge Center, MN, 55927",MN,44.0283201,-92.856565,"Monday, Wednesday, Friday 10-5, Tuesday & Thursday 10-7, Saturday 9-noon",(507) 374-2275,No,Yes,Call to Reserve,
The Dignity Center,"511 Groveland Avenue, Minneapolis, MN, 55403",MN,44.9663368,-93.2875779,"Monday, Wednesday, Friday, 9am - 11:30am",(612) 435-1337,Yes,Yes,Call to Reserve,
Indian River County Courthouse,"2000 16th Avenue, Vero Beach, FL, 32960",FL,27.639253,-80.4008777,"Monday – Friday, 8 AM–4:30 PM",(772) 770-5185,Yes,Yes,Call to Reserve,
United Against Poverty,"1400 27th Street, Vero Beach, FL, 32960",FL,27.6475533,-80.4013976,"Monday – Saturday, 9 AM - 6 PM, Sunday 11 AM - 6 PM",(772) 564-9365,Yes,Yes,Call to Reserve,
Virginia Public Library,"215 S 5th Ave, Virginia, MN, 55792",MN,47.5216296,-92.5390478,"Monday - Thursday 10am - 6pm, Friday 10am - 5pm, Saturday 10am - 2pm",(218) 748-7525,No,No,Walk-Ins Only,
St. Peter Public Library,"601 S. Washington Ave., St. Peter, MN , 56082",MN,44.3237489,-93.964569,"Monday - Thursday 10 a.m. to 8 p.m.  Friday 9 a.m. to 5 p.m., Saturday 9 a.m. to 1 p.m., closed Sunday",15079347420,No,No,Walk-Ins Only,
Rosenmeier Law Library,"213 1st Avenue SE, Little Falls, MN, 56345",MN,45.975678,-94.3594801,"Monday - Friday, 8 AM to 4:30 PM",(320) 632-2941,,,,
Chicopee Veterans Services,"36 Center St, Chicopee, MA, 0101",MA,42.1474039,-72.6071339,Monday - Friday 9am - 5pm,14135943470,No,No,Call to Reserve,
The Community Day Center of Waltham,"16 Felton St, Waltham, MA, 02453",MA,42.3742492,-71.2374077,Monday - Friday 12:30pm - 4:00pm,17813926311,No,No,Call to Reserve,
Le Sueur County Justice Center Law Library,"435 E. Derrynane St., Le Center, MN, 56057",MN,44.38375,-93.723939,"Monday - Friday, 8 AM to 4:30 PM",(507) 357-8260,,Yes,,
McLeod County Court Administration,"830 11th Street East, Glencoe, MN, 55336",MN,44.7696742,-94.1509766,"Monday - Friday, 8 AM to 4:30 PM",(320) 864-1281,,Yes,,
Sibley County Court Administration Office,"400 Court Avenue, Gaylord, MN, 55334",MN,44.5562382,-94.2210126,"Monday - Friday, 8 AM to 4:30 PM",(507) 237-4051,,Yes,,
Central Minnesota Legal Services,"2150 3rd Avenue, Suite 100, Anoka, MN, 55403",MN,45.1998355,-93.3868058,Monday - Thursday 8:15 a.m. - 4:30 p.m.; Friday 8:15 a.m. - 12:00 p.m.,16123328151,Yes,Yes,Call to Reserve,
4th District Family Court - Family Justice Center (FJC),"110 South 4th St, Suite 125, Minneapolis, MN, 55401",MN,44.9793764,-93.2678156,8am-4:30pm,16123486734,No,Yes,Walk-Ins Only,
Open Arms Community Center,"8055 Industrial Park Rd S., Baxter, MN, 56425",MN,46.3480562,-94.2357997,Monday - Friday 7:45 am - 7:45 pm; Sat-Sun 8 a.m. - 5 p.m.,12186737891,Yes,Yes,Walk-Ins Only,
Spring Lake District Library,"123 E Exchange St., Spring Lake, MI, 49456",MI,43.0764473,-86.1956137,"Monday through Thursday 9:00am - 8:00pm, Saturday 9:00am - 5:00pm and Sunday 12:00pm - 5:00pm",16168465770,Yes,Yes,Walk-Ins Only,
Family Rise Together,"2321 W 7th Street, Duluth, MN, 55806",MN,46.76926,-92.1353805,Monday-Friday 9-5pm,(218) 461-1722,Yes,No,Call to Reserve,
Enlace de Familias,"299 Main Street, Holyoke, Massachusetts, 01040",MA,42.2007039,-72.606526,Monday - Friday 9:00am to 5:00pm,(413) 532-9300,,Yes,Call to Reserve,
The Open Door,"28 Emerson Ave, Gloucester, Massachusetts, 01930",MA,42.615311,-70.6759105,Monday-Friday 9:00am-4:30pm,19782836776,Yes,Yes,Walk-Ins Only,
Simpson Housing Services - Belfry Apartments,"3901 Chicago Ave, Minneapolis, MN, 55407",MN,44.9322114,-93.2620244,"Monday - Thursday, 9 AM - 4 PM, Friday 9 AM - 2 PM",(612) 778-5230,Yes,Yes,Call to Reserve,
Pillsbury House & Theatre,"3501 Chicago Avenue, Minneapolis, MN, 55407",MN,44.9393313,-93.262213,"Monday-Friday, 9AM-4:30PM",(612) 824-0708,Yes,Yes,Walk-Ins Only,
Greater Holyoke YMCA,"171 Pine Street, Holyoke, MA, 01040",MA,42.2079887,-72.6142929,"Monday - Friday 5:30am – 8:30pm, Saturday 7:00am-3:00pm, Sunday 10:00am – 2:00pm",(413) 534-5631,No,Yes,Walk-Ins Only,
City of Northampton Department of Health and Human Service (DHHS),"1 Roundhouse Plaza ground level, Northampton, MA, 01060",MA,42.3167201,-72.6318723,Monday - Friday 8:30am – 4:00pm,1-877-DCC-0413,No,Yes,Call to Reserve,
Douglas County Library District - Minden Library,"1625 Library Land, Minden, NV, 89423 ",NV,38.9540739,-119.7657332,"Monday - Wednesday, 10 AM to 7 PM, Thursday - Saturday, 10 AM to 5 PM",(775) 782-9841,Yes,Yes,Walk-Ins Only,
Humboldt County Library - Winnemucca,"85 East 5th Street, Winnemucca, NV, 89445",NV,40.9728038,-117.7324907,"Mondays 9am-6pm, Tuesdays & Wednesdays 9am-7pm, Thursday & Fridays 9am-6pm, Saturdays 9am-3pm",17756236388,Yes,Yes,Call to Reserve,
Washoe County Library System - Downtown Reno Library,"301 S. Center St, Reno, NV, 89501",NV,39.5226301,-119.8105822,"Mondays-Fridays, Sundays 10am to 6pm",17753278340,Yes,Yes,Walk-Ins Only,
Washoe County Library System - Sparks Library,"1125 12th St, Sparks, NV, 89431",NV,39.5440195,-119.7589224,Every Day 10am to 6pm,17753278340,Yes,Yes,Walk-Ins Only,
Fellsmere City Hall,"22 S. Orange Street, Fellsmere, FL, 32948",FL,27.7669598,-80.6029587,Monday-Friday 9 am - 4:30 pm,17722263162,No,Yes,Walk-Ins Only,
7th Circuit Court,"900 S. Saginaw St, Flint, MI, 48502",MI,43.01181,-83.6880893,"Monday - Friday, 8am - 5pm",(810) 257-3272,No,Yes,Walk-Ins Only,
El Paso Law Library,"500 E. San Antonio Ave Ste #1202, El Paso, TX, 79901",TX,31.7582618,-106.4841257,"Monday - Friday 8:00am - 5:00pm; Reservations can be made by phone (915) 273-3699, or via email at eplawlibrary@epcounty.com",(915) 273-3699,No,Yes,Walk-Ins Only,
2nd District Court and Law Library,"15 West Kellogg Blvd, St. Paul, MN, 55102",MN,44.9440192,-93.0936826,"Monday-Friday (except holidays), 8am-4:30pm",16512661999,Yes,Yes,Walk-Ins Only,
2nd District Juvenile and Family Justice Center (JFJC),"25 W 7th St, 1st Floor, St Paul, MN, 55102",MN,44.9481258,-93.0977803,Monday-Friday (except for Holidays) 8am-4:30pm,16512661999,No,Yes,Walk-Ins Only,
Family Justice Center,"12240 Fillmore St, West Olive, MI, 49460",MI,42.9416744,-86.0881259,Monday - Friday 8am - 5pm,(616) 846-8141,No,Yes,Walk-Ins Only,
Southern Minnesota Regional Legal Services (SMRLS) - Mankato,"12 Civic Center Plaza # 3000, Mankato, MN, 56001",MN,44.1642433,-94.0048947,"Monday - Friday, 8:30 AM to 5 PM",(507) 396-6815,Yes,No,,
Austin Resource Center for the Homeless (ARCH),"500 E. 7th Street, Austin, TX, 78701",TX,30.2678638,-97.7375115,Open 24 Hours Everyday,(512) 881-8951,Yes,Yes,Walk-Ins Only,
Amargosa Valley Library District - Amargosa Valley Public Library,"1660 E. Amargosa Farm Rd, Amargosa Valley, NV, 89020",NV,36.5693039,-116.4591526,"Monday, Friday 10 AM to 6 PM, Tuesday-Thursday 9 AM to 5 PM",(775) 372-5340,Yes,Yes,,
Clark County Law Library,"309 S 3rd St, Suite 400, Las Vegas, NV, 89101",NV,36.1673474,-115.1444024,"Monday-Thursday, 7:30 AM to 5:30 PM",(702) 455-4696,Yes,Yes,,
"Pasadena - Harris County JP Court, PCT 2, PL 2","101 S Richey St, Pasadena, TX, 77506",TX,29.7117586,-95.2192457,Monday - Friday: 8:00am - 4:00pm,(713)-274-6100,No,No,,https://a.flexbooker.com/widget/01d58086-79e8-455c-974d-53087d86d87f
S. Lake Community Center,"60162 Co Hwy 4, Squaw Lake, MN, 6681",MN,47.6107282,-94.1188803,8 AM to 4:30 PM,(218) 659-4738,Yes,Yes,,
AEOA Hibbing Homeless Shelter,"2313 3rd Avenue East, Hibbing, Minnesota, 55746",MN,47.4232398,-92.9394938,"Monday - Friday, 8 AM to 4:30 PM",(218) 262-4784,Yes,No,Walk-Ins Only,
Red Wing Public Library,"225 East Ave, Red Wing, MN, 55066",MN,44.5644177,-92.5355011,"Monday - Wednesday 9am to 7pm, Thursday - Friday 9am to 6pm, Saturday 9am to 3pm",(651) 385-3645,No,No,Walk-Ins Only,
New Beginnings Church,"785 North Arrowhead, San Bernardino, CA, 92401",CA,34.113726,-117.2890164,"Monday - Thursday, 9am - 3:20pm",(909) 889-7328,No,Yes,Call to Reserve,
North Canyon Justice Court,"2100 South Highway, Colorado City, AZ, 86021",AZ,36.9529611,-112.9601266,"Monday - Friday, 8 AM - 5 PM",(928) 875-2483,Yes,Yes,Walk-Ins Only,
Douglas County Library,"720 Fillmore Street, Alexandria, MN , 56308",MN,45.8836382,-95.3801133,"Monday - Thursday 9:00-7:45, Friday 9:00-4:45, Sat. 9:00-3:45",(320) 762-3014,Yes,Yes,Call to Reserve,
Mohave County Justice Court,"2225 Trane Road, Bullhead City, AZ, 86442",AZ,35.1067687,-114.6044911,"Monday - Friday, 8 AM - 5 PM",(928) 758-0726,Yes,Yes,Walk-Ins Only,
Lake Havasu City Municipal Court,"92 Acoma Blvd. S., Lake Havasu City, AZ, 86403",AZ,34.4757273,-114.3182343,"Monday - Friday, 8:30 AM - 4:30 PM",(928) 732-0024,Yes,Yes,Walk-Ins Only,
Beaver Creek Adult Center,"4250 E. Zuni Way, Rimrock, AZ, 86335",AZ,34.6316445,-111.7769535,"Monday - Friday, 9 AM - 12 PM",(928) 567-4556,Yes,Yes,Walk-Ins Only,
City of Surprise,"12425 W. Bell Rd, Surprise, AZ, 85378",AZ,33.6374334,-112.3266985,"Monday/Tuesday, 8 AM - 5 PM; Wednesday/Thursday, 8 AM - 7 PM; Friday, 8 AM - 3 PM; Saturday 8 AM - 1 PM",(623) 222-1600,Yes,Yes,Walk-Ins Only,
Nueces Public Library,"1000 Terry Shamsie Blvd, Robstown, TX, 78380",TX,27.7915794,-97.6527812,Monday - Thursday: 9:30am - 6:30pm; Friday & Saturday: 9:30am - 2:30pm,(361) 387-3431 ext. 0,Yes,Yes,Walk-Ins Only,
Palacios Community Hub,"1001 5th St, Palacios, TX, 77465",TX,28.7091482,-96.2177039,Monday - Thursday: 8:30am - 5:00pm; Friday: 8:30 - 12:00pm,(361) 972-9990,No,Yes,Call to Reserve,
Midland County Law Library,"500 N Loraine St # 102, Midland, TX, 79701",TX,32.0022935,-102.0752006,Monday - Friday: 8:00am - 12:30pm and 1:30pm - 5:00pm,(432) 688-4351,No,Yes,Walk-Ins Only,
Doyle Community Center,"110 W. Barnett St., Kerrville, TX, 78028",TX,30.0563773,-99.1431996,Monday - Thursday: 9:00am - 4:00pm;  Friday: 9:00am - 3:00pm,(830) 257-4446,No,No,Walk-Ins Only,
El Progreso Memorial Library,"301 W. Main St., Uvalde, TX, 78801",TX,29.2071149,-99.7903013,Monday - Thursday: 10:00am - 5:00pm; Friday: 10:00am - 3:00pm; Saturday: 10:00am - 1:00pm,(830) 278-2017,No,No,Walk-Ins Only,
Palestine Public Library,"502 N. Queen St., Palestine, TX, 75801",TX,31.7632897,-95.6342534,Monday - Friday: 10:00am - 6:00pm; Saturday: 10:00am - 1:00pm,(903) 729-4121,No,Yes,Walk-Ins Only,
Pearsall Public Library,"200 E. Trinity St. Suite 333, Pearsall, TX, 78061",TX,28.8946243,-99.0952269,Monday - Friday: 8:00am - 5:00pm,(830) 334-2496,No,No,Walk-Ins Only,
